Comment Number,Comment Text
102,"धन्यवाद! आप अपनी व्यंग्यात्मक कॉमेडी के माध्यम से समाज में जो कुछ हो रहा है, उसे बेहतरीन तरीके से दिखा रहे हैं। हमारी तरफ से आपको एक छोटी सी भेंट स्वीकार करें। आपके चाहने वाले बहुत हैं!"
103,Thanks....Superb man
104,"Kunal, Your courage in speaking the truth about our country's issues, despite the risks, is truly admirable. It takes immense bravery to stand up for what is right, especially in times when honesty is met with resistance. Your voice is important, and many appreciate your fearless efforts. Stay strong, stay safe, and know that your words are making a difference.

Respect"
105,Thanks. We need more people like you and we are here to support you! Dictators and provocateurs like these have to be stopped.
106,"Thanks! Keep up the good work. For people like you, we hope to remain in a free and democratic country. You have the courage we want to have. You are a warrior in a country of spineless fools."
107,"Kudos to our true patriot... True citizen on India...,,🫡"
108,"Thanks - Victory Greets the lion hearted.
The brave soldier of India. 🫡 Salute to you sir.
You are real hero and these people reacting by hooglism .. ye Shinde aur Yogi are scared .."
109,"Thanks for doing this. I live near Pondy. I am coming to meet you and chill, if you r up for it. Jus want to have a conversation, a lunch.. whatever.. U r the gem India has to preserve. Thanks for this. That constitution move just gave me goosebumps.. What a way to end. Thanks a tonne. My kids are small, when they grow up to understand these things. Will show these videos, and tell them this uncle had the spine when not even the Judiciary had, no constitutional body had, no  celebrities had."
110,You're amazing bro. You've a spine with steel. I didn't see anyone with this much bravery. Kudos to you 
111,Finally a stand up artist with a spine who stands up for truth and freedom. A small token to say thank you; I wish I could use this as a slap against state-owned artists like Kumar Awiswash.
112,Thanks! History will remember this man for his bravery ....all the songs  gave me goosebumps
113,Salute to you sir...... We need people like you
114,"Thanks brother for standing up so strongly against the dictator himself so openly. May God give you all the strength to fight these goons. I have left with almost minimal hopes from this country which is only because of strong people like you, Arvind Kejriwal, Ravish Kumar and all such great souls who are trying to safeguard my beautiful Nation from falling. Hats off to you buddy."
115,Respect! Must be tough walking around with those big balls. You are the voice of the comman man. Keep it up!
116,Stay fearless. You video made me feel proud to be an Indian
117,India needs Kamra.
118,"You did it sir you did what our media and news couldn't in all these years... respect++
And a small contribution for the freedom of speech ️"
119,People like you give hope! For mother India and more 
120,You'll be there in history for sure in this Roller coaster ride of the Nation. We'll pass it united. Amm a student but will be there for you & with people like you and me  who knows what's a Nation and what is Meant to be Free.🇮🇳
121,"I am from the south. I don't know Hindi and I don't understand what he's saying, but I know he always stood up for the right thing. Freedom of expression should prevail."
122,"It takes a lot of courage to do what you're doing. I wish I, too, had the courage to speak my heart out. Just seeing all the support you're receiving makes me feel better. More power to you, mate. You've said what the soul of our country is dying to express. Thanks for doing this. ️"
123,"Thank you for doing this, kunal. Be the fearless we all wish to be. We need this. ""Bharat"" needs this... Never change. Hoping this would help in legal costs if any."
124,"This, what Freedom of speech & expression, keeping in mind the reasonable restrictions is. You just put it together so good.  Holding the Constitution at the end was cherry on top. "
125,Thank you for standing up. This will make a difference. Fearless actions have consequences but that's how you stand out
126,"तमाम महाराष्ट्राच्या जनतेकडून, धन्यवाद!"
127,🫡🫡
128,"Nice work!
The entire Maharashtra government was shaken by the revelation of the truth.
Please bring more satire like this."
129,Thanks! It warmed my heart that someone is standing up and doing something.
130,"Kunal bhai, all of this songs should be on a spotify playlist... Repeat OP... "
131,"Kunal, your voice echoes the courage that many of us wish we had. In times when questions are silenced and truth is often buried under propaganda, your sharp wit and fearless satire cut through the noise. Thank you for holding power accountable with humor and honesty—something that has become a rare act of bravery.

Please stay safe. The bigots and their machinery will continue their witch-hunt, but voices like yours are needed now more than ever. Keep asking the questions they fear the most. More power to you!"
132,"We are living in times when everyone is either scared or sold out. Media, administration and Judiciary are not even speaking up. It's so refreshing to hear political comedy and political views that we all think in our minds. I hope that someday in our lifetime we get back the freedom and creativity that we had in early 2010s. Stay safe!"
133,Thanks for showing the courage and standing against the authoritarian regime.
134,"Keep Rocking..,"
135,इतिहास लड़ने वालों का ही लिखा जाता है चाटुकारों के नाम कोई याद नहीं रखता Thanks
136,"Thanks Kunal, this could be the revolution the country was waiting for."
