Comment Number,Comment Text
704,Standup comedy is no more about comedy
705,I salute you bhaiya
706,Very nice 
707,Superb commedy.......Vijay.......
708,Sach hi to Bol rha h bechara….What is the controversy about?
709,Love u bro
710,Bhai kunal kamra anna 
711,बहुत धुलाई अंध भक्तो की 
712,Never delete this video
713,"6th April 2025 , 13 th View
 Lets make 140 crore views"
714,Tamil Nadu kese aayega bhai
715,living legend 
716,You are a real hero 
717,I really appreciate  sir
718,"Iska ek saal ka kharcha paani mooft,
Boleto ek saal masti hi masti."
719,Watching your video I am reminded of Geoffrey Rush of movie Quills playing the role of Marquis de Sade ..
720,When singer become comedian 
721,@kunalkamra bhai please chasma phena karo bahut ache lagte hu bina chashme ke amit shah lagte hu
722,"अगर सच बोलना बगावत हे
तो समझो हम भी बागी हे
More power to you"
723,Incredible 
724,Kya baat hai sir 
725,Full support
726,Audience ne responsibility le liya aur notice aa gya unko 
727, kaisa chay hai
728,This was needed.
729,Kunal sir bodhgaya pr vidio kyu nhi bnate please
730,Best aadmi hai. Keep going
731,Good job bro 
732,Anil Awara laughing in corner 
733,Jai ho... Prabhu
734,Tamil Nadu kaise aayenga bhai 
735,Haq hai bhai love you
736, Melony mujhe achhi Lage 
737,How can we laugh over this sarcastically it is the harsh reality of India the truth we deny the truth we fear the truth we ignore the truth we disagree to and the truth thats making india worst day by day and we ignore it saying how does matter to us but it matters.. and matters to every single person of our country because its our  country  each of us responsible for its good and bad... And as said its not the  mistake of the  wrong person what he does but more of the right person who doesnt stand againt it  we who ignore we who dont care its our mistake and we still cant and dont do anyting ....
738,I am surprised....  its something different...
739,15.15  मजा आ गया 
740,"Kunal bhai posting this with a hope that maybe you and other youtubers can revolutionize something. This is about the recent incident where MNS Workers are beating Bank and Dmart employees and asking them to Speak in Marathi and threatening them on Open TV while there is no law as such


I've heard that Late Shri Balasaheb Thackeray used to say, “Jai HIND, Jai Maharashtra”, clearly signifying that the nation comes first. But today, some goons have hijacked this sentiment. Hindi is our national language, yet we're being attacked for speaking in our National language itself? It's 2025, Fu*kg 2025, are we seriously still fighting over languages within our own country?


Is there any law mandating that we must speak only Marathi? Who gave these people the right to beat others for not using a specific language? If they feel Marathi should be officially mandated, let them go through the legal route instead of imposing their own laws through violence.


Where is the law and order in this country? We're dividing ourselves from within, while ignoring the real issues — Manipur crisis, unemployment, inflation, poverty, corruption, pollution, crime, assaults on tourists, and rising rape cases. Bloody yeh sab Desh ke Core Serious Issues hain ispe koi baat hi nahi kar raha? Sabka Prime Time Attention kispe hai? A comedian’s joke. Studios get vandalized, threats are given on live TV, and even the CM comments on such trivial matters, but stays silent on national crises.


Yes, we’re the 4th largest economy, yes, there's digitalization and improved infrastructure — and I appreciate that. But what’s the point if citizens don’t even feel safe? If the democracy is being Torn apart? If thugs can beat you in public for speaking Hindi — the national language — and no one does anything, what kind of progress is that?


This internal decay is far more dangerous than any external threat. And now some Andhbhakts will say, “Go to another country if you don’t like it,” or “It was worse during Congress rule,” or even “Look at Pakistan.” That’s not the point. Just because others are doing worse doesn’t mean we should suffer like this.


Today, we are crumbling from within. The core issues of our nation are being ignored while goondaism rises and democracy weakens. It’s heartbreaking to watch a country we love, a country once known for peace, culture, and humanity is falling apart like this "
741,"Kunal Kamra and others, won a case vide which  the court struck down 2023 amendment to Rule 3(1)(b)(v) of the IT  Rules, 2021, declaring it unconstitutional.

Writ Petition No.9792 of 2023, Bombay High Court"
742,Full support 
743,Wonderful speech in man
744,"@KunalKamra, you were right that women have these inventions because men needed them when they were all alone. My thought is not specific to a country."
745,Yeh badhiya tha guru 
746,Love you kunal bhai️
747,please join any political party and go to delhi for speek out.    please help & fight against fake and wrong
748,we are all with you kunal don't worry
749,Reality of india
750,Hum Leh k Rahege AZADI 
751,Love from pakistan 
752,great bro baind bjaa diya tanashaah ka
753,Bhai may aapke sath hu
754,Keep it bro
755,AN ABSOLUTE KINGGG
756,Big fan of kunal kamra
757,just slap stick humor....he is frustrated in india ..
758,Koi to h baat karne vala is topic pr great @kunalkamra
759,Tamilnadu me kaisa pahochega bhai
760,Love you
761,WHERE/WHAT IS THE INTRO SONG
762,bro u r too good
763,12 Million views....2 Million subscriber.....
764,Kuch bhi kaho himmat h bhai me jo bola sb sach bola
765,Thank you bro 
766,You really did it
767,Song Name? Intro Outro??
768,Ak No
769,Hat's off man
770,"Terko dekh k ek muhabra yaad ata hai. 
Lato k bhoot baato se ni mante "
771,Salute this man
772,Thank you for this
773,زبردست جناب
774,14:00 best part
775, masterpiece
776,good one...
777,Freedom of speech 
778,Tamil Nadu kesay ayeen ga main?
779,BJP ki puri team ke sath.....gang bang ho gya
780,Hail the constitution based content.
781,"Ye show to accha hai par ye only middle class se connect karta hai. We need something like mehngayi daayan song, jo ki masses k saath connect kare. Otherwise this all is in vain and worth nothing as it wont amount to any real political change.

Make something that connects to the poor people, the masses, in  India."
782,Respect 
783,this comments section is just a donation page hahaha
784,Chota Fanta
785,"Right before the elections, lezzgoooo"
786,Rachin  Ravindra 4.20
787,"I can't support you by money

But huai Tere uppar ke sab case mera ek friend hai uske upoar daaldete apan"
788,Name of Intro song?
789,hello bro kase ho brother
790,The OG kunal kamra 
791,बहोत सही बात है
792,Mango seller 
793,Very well done
794,1 rupiyo virat kohli taraf thi
795,18:46 besttttt 
796,Brilliant! 🫡
797,Salute boss !!
798,Bruh
799,Kunal bhai gali nahi doo please  earphones nahi hai
800,Maa chood diye bhaiya jee 
801,Chhota Fanta ko dekha to aisa laga 
802,Andbhakt nhi manenge
803,keep going ~
804,bhai to gayo
805,Love u
806,commendable
807,Ye Bande me dam hai bhai 
808,"Man he literally exposed the truth of the whole fake ass corrupt government through a song which is real talent and these idiot shivsena supporters are doing gundagardi, everybody has right to freedom of speech! "
809, joke samza 
810,"Hat's off for the brave behaviour comedian has shown after the outrage and yess the comedy is worth watching but the candles should be lighten for a candle march against the bull shit behaviour of the government and there so called puppets
🫡🫡🫡"
811,"Sir jo baat Words main nahi bol sakta koi ,......apney song main bol di ......Aise songs to toh HIT karna chahiye market main.......hehehehehehehehehehehhe ek Kranti lani hogi"
812,13 din 13 M views
813,Bhaiya pta nhi kyu pr soch hamari mil rhi hai
814,Awwwweesome
815,Itna paisa
816,For your courage
817,2 se 3 Songs ma itni relevancy ha k uski reel bana k ma Pakistan ma publish kardo tu loog bolainge k hum ne ye kyun nahi likha sb tu fit bethta ha hamari situation ma 
818,Love love️️
819,Hats off
820,21:57 ye duniya ye duniya peetal dii 
821,Sherrrrrrr 
822,Nice 
823,Every action has an equal and opposite reaction.
824,Mazedar rahi
825,Hila dala bhai
826,"I agree with nearly everything that Kamra says. Literally everything. But I don't understand why he insists that we should worship muslims as if they are a boon from the gods.
Hinduism is a regressive religion. No doubt about it. But islam is even more regressive. If hindus have oppressed women....muslims have oppressed women many times over. I still don't understand why we are being told to worship muslims. If India mistreats 'religious minorities', islamic countries mistreat religious minorities 10 times worse. There is literally nothing to emulate from islamic countries, except that the BJP/RSS are emulating islamic countries in their functioning, to the T.

I have a colleague who is a Pakistani Christian (obviously, I don't live in India), who tells me of the horrors that religious minorities have to face in Pakistan...from christian women having acid thrown on their faces for wearing skirts, to churches being burnt, to people being lynched for alleged 'blasphemy' of islam.
Sorry Kamra, but there is absolutely no rhyme nor reason to worship muslims or islam."
827,Sahi kha sir 
828,Great sir
829,Salute you !
830,Nice comedy brother
831,Good.bhai.
832,Op bhai
833,Basic crux is ki samasya Gino Ginao Or Bhuljao Hona kuchni hai
834,Maja aagya
835,Guts man..
836,No wonder he's a threat to democracy . 
837,More Power To You
838,Lovely
839,Jaybhim...
840,lekin m toh bitcoin kharidne jata 
841,জয় হিন্দ 
842,"Salute to you 
BOSS"
843,You're kryptonite for Fascist 
844,Bhagoda bhai tu abb jaye ga Mumbai  motte tu toh darr gya bhai
845,Good Mere Bhai
846,"Comment section is flooded. 
Not with bad words but with funds :D"
847,Amazing!
848,Kunal bahi ne sach sach baat ki hai
849,Next step is FIR against who all watched the video.
850,Kunal becoming a Buddha while hating Buddhas
851,Ooooooooo roasted in seconds
852,Hat's off
853,JAI HIND TRUTH SPOKEN
854,Support for Kunal Kamra
855,You rock bro
856,Please make on videos on great Basavanna who is reason for make lakhs of gandhiji in 11th century but they all killed by castism it's great battle between non violence and violence please study about Basavanna please world knows him but india not aware
857,Kudos to you for being so brave!  Maar li puri 
858,I appreciate your work but 1stly Anant has a health issue that causes his condition; 2ndly He's known to be a genuinely kind-hearted dude. Oppoese the govt who agreed to give a forest to a neo king while reducing wildlife conservation budget all over. But that ain't Anant's fault bro.
859,"Sir aap election me contest karo hum aap ko support karenge . ye log Sab corrupt hain . anti muslim hai , desh ko bat kar raj karna chahte hain desh ko aap log jesse nidr aur transparent logo ki zarurat hai . mai aap ko parliament me dekhna chahta hun . app ki speech waha bhi ho. Sach aur jhut ka samna ho jaye. Hum aap ke liye dua karenge. Allah aap ko hidayat de . aap islam ko dhere dhire janiye allah aap ko islam ki roshni tak pohcha denge."
860,Koi h yha jo batae ki is video se kitna collection hua
861,sir 
862,Ab samajh me aaya ki bhai ki studio kyu toda tha sidha chay and गंजा पे bologe to राहु केतु को बुरा तो लगेगा ना
863,15:00 
864,नया भारत 
865,A part of video is maybe cutoff.
866,Bahi ye kya bol diya ise sun k bjp royegi
867,"Kunal's new show title "" WHO IS MORE EFFECTIVE:  CONGRESS KE BUDDHE AUR DESH KE BUDDHE """
868,bhai sab paise deke comment krre oh bhaiiiii
869,Superb!
870,Firee 
871,Very nice.. Gaddar bjp  hatao desh bachao
872,Ganja Yogi
873,#righttospeak
874,नई जेनरेशन को मंदिरो मे घंटा बजाने की ट्रेनिंग देना शुरू करो।
875,Nice singing 
876,Bas inhen comedian se mafi mangwane ka bol do yah kara lenge par forest kaatne se nahin rukva payenge
877,Don't loose hope
878,Aag lga di
879,Good job sir
880,Angaaaarrrr
881,Maa Kasam ek video pe itna paisa wo bhi comment ke jardye
882,Excellent
883,"Bro Muslims bhi toh har jagah hain.Woh log yaha pe kyu apne rules lagaana chahte hain, Waqf ke against bhi, apna khud ka court bhi dont you feel these issues should be talked about too? I agree with a lot of your points but you need to talk on both sides as a stand up it cant be biased. Indian Business agreed<3"
884,What a banger!!
885,12:42 
886,Kursi jeeta but dil nhi jeeta indians ka
887,Good man sir
888,Comment or dil se support bec..unemployed..wonder who to blame?
889,Iska comments section paso se bara hai  tag mr beast @mr_beast
890,#Right to joke
891,Nice
892,Kunal Kamra ne sarkar ko such ka aaina dikhaya to sarkar ne kunal kamra ka gla ghot diya ....
893,️️
894,Bro  I hope You are still alive 
895,बहोत कुछ हिल रहा है में थक रहा हूं
896,How disrespectful he is for old people I don't know why people support him such a shameless 
897,I supported kunal kamra
898,awsamm sir
899,19:26 
900,Are bhai aap ko  log bhag kitna chanda de rhe h  Etna to me 10 sal me kama paunga 
901,Sir ye comedy nahi shachai hai
902,Ab hoga desh me badlaw 
903,Waah
904,"27.25 we should think... This is really need... According to science also.. After becoming aged, people behaving unknowing and buddi bhi kam ho jata hein.. Bawla jate hein... To is age desh sambalna... Do you think this secure... Ye kuch bhi soch chakte hein.."
905,Brilliant
906,34:28 vivaad ki suruat yaha pe mile gi 
907,Wwooohhhhh
908,Nic 
909,Dhuruv rathe
910,Finally :)
911,Suruwat me aur last me jo song hai uska naam kya hai pls koi bata sakta hai kya
912,Kunal ji is video par total kitne rupee ke gift mila hai bhai
913,Bravo!!
914,16k sheeps ong
915,Exposing 
916,"42:51 it is just comedy,yaar kee-pele ki yaad aa gyi"
917,Democracy in danger
918,Kunal bhai OP
919,Arre yaha sab paid comments wale kyun hai
920,Can i know why everyone is donating... I am first here can anyone explain
921,Great
922,Shame on ambani. Judiciary paison me bikti hai phr bhi ye bahar hai
923,I support Kunal
924,GOAT OF STAND UP
925,bhai tu galat country me hai
926,It was absolutely so relative
927,"Ultimately India gets divided., sooner than anticipated., South India Nation, Kashmir Nation."
928,Salute bhai
929,34:25 that is the song timestamp
930,Good
931,best video
932,Best video
933,Awesome
934,Correct!!!!!
935,Full support to kunal
936,#righttojoke
937,"Shabd n he aaj,"
938,44:51 that's why even godi can't remove this video
939,Ok
940,Save Gaza Save WestBank Free Palestine 🇵🇸
941,W my guy
942,#rightto joke
943,Yeh bolne se kya hi hogya ....rahul bhi toh yehi kaam kr rha h ....inko pata h kuch hone toh wala nhi .....no repercussions in india ..simple as that ....truth to power in india is pure lie....if you have guts so do the same thing in pakistan  then you'll know
944,सही है!
945,Lajawab
946,Mis-use of freedom of speech 
947,Freedom of speech kha gyi sarkar
948,10-15  lakh rupee aa gya hoga bhai ab ek aur tamilnadu me Ghar le le
949,Inquilab Zindabad
950,Is country me pain ho to comedy e hota hai..... baki kuch karoge to aap ko pakistan bhej diya jayega.........
951,Bhai tum kya kar rahe ho
952,Aap aisa bol kese sakte he...
953,Amazing
954,أنا في المنزل
955,Biwi chor ke gaya and bara hoke takla bane ga .. can somebody explain me the joke please
956,41:19 kulhad pizza bhai
957,"I am 16, and till 2020, I was actually an andhbhakt. But gradually I understood a little bit about the things happening in India , and yes,they aren't good or even OK.
But the thing is whom to support. If not the good one,then it has to be least worse one to win. If not Bjp,then whom to support.Clearly,the remaining major parties aren't better or good
Also, If modi is a dictator, then actually he is the best dictator in the world "
958,killed itttttt
959,Ab ye video delete karke dikhao koi
960,BRO!!!!!
961,Right now
962,Wowwww
963,EPIC
964,"Please give me some mone.
I am ill"
965,WOW
966,15:25 no modi yogi harmed int his vdo
967,Comedy start ho to batana bhai. 
968,Hi
969,13 M Views
970,15:06 
971,5 crores dollars
972,Kash us din tumare papa jaldi so jate
973,Pakistan matt aana bro yahan zaida lauray lagay huay hain
974,SALUT
975,Godi media daddy 
976,Lagta hai galti se ameer logo ke comment section me aa gya
977,Kangal Hindustani?
978,Inme se adhe to samj me nhi b aayi fir bhi haaa hiii kr rhe h 
979,Hiii
980,Kisi ne shi aaina dikhaya
981,damnnn
982,️️️
983,43:09 odisha schemes of Navin patnaik
984,Woah
985,Bhai galat logo se panga mat lo. You don't  know the power of politicians. Boss apani jaban  sambhalo.
986,🫡
987,Everything is okay until you realise he supported people like SYED UMAR KHALID
988,Favorite part : 41:39
989,"Damn ,"
990,"Plz tip Kamra so that he can buy houses in liberal countries like Bangladesh, Pakistan, Afghanistan etc. "
991,You tube me high profile bheek Milne laga jab se bhai
992,bro cooked
993,44:59 🫡: the boss constitution
994,41:40
995,🫡🫡🫡
996,"He knows the ""kuch bhi"" logic for Ola
When it comes to Men's rights, he himself throws ""roti ka"" ""kuch bhi"" logic
Must be pampered kid!
Men earn roti for entire family - his and hers too"
997,10
998,40:40 who 's chhota fanta ?
999,0:49
1000,1 3:00 3:03 3:03 3:03 3:03 3:04
1001,44:57
1002,Bhai comment me sab paise kyu de rahe hai mujhe to kuchh samajh hi nhi aa raha ?
1003,33:20
1004,#tanashah
1005,Modi 1970 story
1006,3th time i watch this video 
1007,kunal king
1008,100
1009,Very frustrated Kamra Uncle.
1010,11:00 pe ka logic samjh nhi aaya
1011,"TAMASHAH MODI - Ft.Modi

https://youtube.com/shorts/itCfXwvy6Wo?si=sfmGlCwPnRaoEznQ"
1012,Jo
1013,Hh
1014,Modisahi
1015,अब ये कमरा अपनी फ्रीडम ऑफ स्पीच का use करके हैदराबाद के जंगल को उजाड़ने वाले रेवंत रेड्डी सरकार पर बोले गा की नहीं ये तो बताओ कोई
1016,Lol
1017,"Making jokes about someone’s health isn’t comedy, Kunal Kamra — it’s cowardice. Anant Ambani has shown more strength in his personal journey than you have in your entire career of hiding behind a mic. Let’s try punching up, not down.”"
1018,Shadi pese se hui hai
1019,₹1111111111
1020,Ki
1021,https://youtu.be/2PnbFqm1vUY?si=ms9BLxp3ft0skPeS
1022,This guy is asking for lessons to be taught to him. Somebody needs to teach him a lesson of life and make an example out of him. 
1023,Leftist on funding mission here in comments section. It's disgraceful to laugh at hospital jokes. Hope your children won't ever need to go to the hospital. Mr kamra
1024,"Bhaie to Join
Anti-national se bhi gira hua kuch hai kya?
O kya hai ke apna sune pe suhaga hai 
Aur zalimoon ka eligible candidate hoon
In other words Muslim bhi hoon aur gareeb bhi..
Kunal tu le hasaya nahi rulaya hai"
1025,Is bhai se ko halal karo
1026,Godi media daddy
1027,"It will not change the fact that Eknath Shinde ji has worked on ground level during his tenure as CM. 
Even now the majority of Maharashtra people wanted Shinde ji to be CM"
1028,"Kunal Kamra should be thankful to BJP, kinko gaali dekhar ye bheek maang rahaa hain, aur accha kasa paisa mil rahaa hain."
1029,Comedy kab shuru karega bhai 
1030,https://youtu.be/uzAg1qe_3JM?feature=shared
1031,Cheeeteh
1032,https://youtu.be/vCYyp9HZVyk
1033,Kaun bakwas kar raha hai chup ekdam chup
1034,Kamra is hiding in kamra.. lol
1035,Why people are giving money to him I confused
1036,"I agree that we have problems as a nation and with our politicians, but I don’t understand how simply criticism is going to help in any way…. This looks like simply ek pessimistic knowledgeable person rant kiye ja raha hai….. Why don’t you do something about it! Why don’t you try to change the nation! Why don’t you go for civil services! System ko system ke ander hi ghuske thik kiya ja skta hai!!"
1037,i
1038,Tried to watch this video for 20 minutes... WAS NOT FUNNY AT ALL
1039,"Pure bullshit
this is seriously shit"
1040,"Your one liners are in bad interest. That young man whom you were taunting suffers from certain health issues. The woman who has decided  to spend her life with him is also from a financially sound background. In a nutshell, it's in bad state"
1041,Wo video v dal de jb tujhe toda gya.
1042,Log comedy ki wajah se pay nhi kr rhe .. comedy hai kaha ??
1043,"Fullish mentally ,  poor mind"
1044,"Ye kamra to logo ko bevkuf banake mast paise kama raha hai..

Good example of a mind game with disrespect of others."
1045,"If you call this freedom of speech then you are in trouble, freedom of speech is not one sided it has to show all the problems with the whole system. This just feels like highlighting a group and making jokes out of that like the opposition has paid you for negative PR."
1046,Itna Paisa???  o my god
1047,"One may admire his guts but the kind of language he uses is shocking and disgraceful. Is this the sort of language - bkl, bc, gm etc. - the India of future going to use in their homes and families?"
1048,https://youtu.be/-V8XU3nEa3g?feature=shared
1049,comedian talking about politics.Desperately trying to be in the news. Rememeber what happened to Beer biceps guy. So you will meet the same fate.
1050,Thoda padhai likhai acche se karta toh itna negative ni bol pata apne desh ke bare me.....roast krna bahut easy h...
1051,People who have thousands in their bank accounts are donating to a person having crores. Not a good person. Not a naya bharat person. If he is from naya bharat will donate lakhs to good organisations helping poor people. Enjoying on people's donations. Poor people who have donated money will cry for money one day and this guy will be enjoying vacation in Switzerland.
1052,Tere se bada napushak nahi hai
1053,Mostly all kamra fans here and I also love watching him but ye batana ki muslim kitne logically apne customs ko explain karte hai and hinduphobia....ye sab kuch jyada nahi ho gaya....ek ke paksh me
1054,Its just stupid lecture than comedy. Its not about bjp congress the material should be funny. Its just bhadaas than funny jokes. Wasted my times.
1055,Now imagine ek standup comedian ko support karne kye liye 70k logo ke donate kiya maybe shyd calculate kare toh crore ruppes banega toh bharat mai terrorism ko promote karne kiye liye kitna videshi and desi fund jama hota hoga 
1056,"Comedy is good if it’s funny! 

But a funded speech screams out loud it’s funded isn’t funny anymore. He doesn’t need YouTube advertisers. He is paid more than any of your generations can ever earn. So feel miserable about the country and live in a delusion that you’re a defiant and that makes you cool. Because he has already earned his funded speeches while you kept feeling miserable about the country and the petty lives. Why don’t they crack jokes on congress or other communities ever ? Oh wait ! In that case they will be killed not jailed. It’s not about freedom of speech, it’s about freedom of choosing alliances and in the garb of comedy constantly hammering things to change narratives while dimwits think they’re doing some revolutionary thing for the country."
1057,"Y r u talking with abusive words, I didn't dislike the botton coz u r criticizing, otherwise I would have not only disliked but also blocked coz I do it with others, 
At beginning   , I shared and posted but later I deleted quickly. 

BTW, Narendra ko itna izat qun de rahe ho  ji bol k"
1058,"I do understand we have freedom of speech but that should not cross boundary .  It is India where you can say anything to top most person. Please do not the same once you are in other country and pulling their top most country person .Try to follow Bassi , Gupta and other standup. They make fun on daily life but dont hurt nation pride..dont try to buy  cheap publicity ."
1059,इसका कॉमेडी देखके लोग इसलिये हसते है की अब देखने आही गये है तो पैसा वेस्ट हुआ ऐसा खुद को ना लगे. अभी तो गलती से आ गया वापस नहीं आऊंगा.
1060,"I am waiting for your one video where you will rely on comedy instead of bullying people! I hope you can become a real comedian someday like Abhishek Upmanyu, Biswa, Ravi Gupta etc."
1061,"vulagrity, bajwas and personal attacks on some one specially leaders is not comedy and even black comedy"
1062,"Sorry for that but

I don't understand. Why are you sending him money? He is rich himself. He is a money-maker. Yet money is being sent to him from all over the world.
I need it. I have good education but I can't get a job. I have good knowledge but I can't get a job. Yet I am trying for a job every day. And you send him money.
He is talking by sending money. We have support. But what kind of support do you have. He is joking. He is doing comedy. Laugh and enjoy. By sending money, your money will be less and his money will be more.

Sorry for"
1063,"He is so jealous of ambanis, comedy is one thing but body shaming, he speaks like all people of one special community like to...."
1064,Fatu show
1065,ये खुद बेरोजगार है तो इसको लगता है सभी इसके जैसे है
